Description,2024 Q4,2024 Q3,2024 Q2,2024 Q1,2023 Q4,2023 Q3,2023 Q2,2023 Q1,2022 Q4,2022 Q3,2022 Q2,2022 Q1,2021 Q4,2021 Q3,2021 Q2,2021 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1,2019 Q4,2019 Q3,2019 Q2,2019 Q1,2018 Q4,2018 Q3,2018 Q2,2018 Q1,2017 Q4,2017 Q3,2017 Q2,2017 Q1,2016 Q4,2016 Q3,2016 Q2,2016 Q1,2015 Q4,2015 Q3,2015 Q2,2015 Q1,2014 Q4,2014 Q3,2014 Q2,2014 Q1,2013 Q4,2013 Q3,2013 Q2,2013 Q1,2012 Q4,2012 Q3,2012 Q2,2012 Q1,2011 Q4,2011 Q3,2011 Q2,2011 Q1,2010 Q4,2010 Q3,2010 Q2,2010 Q1
Trading Derivatives,1452096.723786,559913.5024412,1165540.4282,551044.888381,1339415.806737,665366.7149599999,1140478.48478,568683.622034,1588369.983039,915049.67499,1369859.207678,614620.6599010001,1449708.677289,557668.386778,1196269.1102,585399.283495,1771161.529535,705654.134784,1145906.972133,908953.286128,1627781.168936,466033.457306,1106063.1292602,706055.444599,1503788.1113269,377322.594162,679708.756086,304917.262035,1283380.173066,733282.126911,593405.338076,349721.924323,1512835.524031,506915.331884,632870.4960259999,542636.694164,1755174.9374886,176912.82596,624370.677188,226524.500296,1303390.3732194,188034.0,877846.025229,139048.957226,1821378.884462,248830.04133,547597.7426,237287.82711,2842103.197895,426587.93908,1396396.43024,857411.66002,3637466.76297,308971.0,1472168.720396,159438.846801,2809837.947987,1837553.05511,2831540.874506,190899.968964
    ABN AMRO Bank NV,3886.0,,4218.0,,4034.0,,4768.0,,4831.0,,4516.0,,2975.0,,3880.0,,5040.0,,5921.0,,4499.0,,5232.0,,4839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Banco de Sabadell SA,2017.999,,,,2563.994,,3505.133,,3600.122,,2628.361,,1378.998,,1720.079,,2364.595,,2607.569,,1840.245,,1950.705,,1720.274,,1842.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Barclays PLC,352006.6025,,295814.07,,293746.2589,,308219.1618,,340708.1884,,399622.3536,,311067.2519,,297797.6876,,337093.1599,,,,270555.0422,,,,247511.9162,,,,267177.1832,,,,404544.2571,,,,443093.9304,,,,,,,,,,,,,,635533.1623,,640591.1076,,418344.3741,,488266.8207,,614816.0828,
    BNP Paribas SA,322631.0,282380.0,278668.0,282436.0,292079.0,332004.0,312894.0,278949.0,327932.0,458962.0,354070.0,283413.0,240423.0,244187.0,237889.0,254337.0,276779.0,272013.0,292798.0,369561.0,247287.0,297716.0,256250.0,237779.0,232895.0,241176.0,240778.0,226162.0,229896.0,241399.0,253559.0,272369.0,328162.0,334356.0,383444.0,363226.0,336624.0,,359092.0,,412498.0,,303388.0,,305643.0,,,,410635.0,,,,451967.0,,,,347783.0,,,
    Banco BPM SpA,,,1839.637,,1892.814,,2307.711,,2724.003,,3587.407,,1995.454,,1798.627,,2586.585,,1920.779,,1959.709,,1797.91,,1738.282,,2067.122,,1905.248,,,,1578.883,,,,2345.647,,,,2983.024,,,,3267.073,,,,,,,,,,,,,,,
    Banco Bilbao Vizcaya Argentaria SA,36003.0,,33183.0,,34293.0,,39346.0,,39908.0,,,,30933.0,,,,40182.0,,,,32232.0,,,,30536.0,,,,35265.0,,,,42955.0,,,,40902.0,,,,44229.0,,,,37638.0,,,,48650.0,,,,47429.0,,,,33665.0,,,
    Bankinter SA,,,,,756.16,,,,1181.732,,,,342.07,,,,498.922,,,,314.215,,,,432.233,,,,268.303,,,,386.897,,,,356.041,,240.471,,436.958,,320.874,,643.689,,574.498,,656.511,,566.453,,,,,,,,,
    CaixaBank SA,,,,,6344.0,,6894.0,,6963.0,,7502.0,,10319.0,,10953.0,,5301.0,,,,6194.0,,10819.432,,8707.0,,,,8162.172,,8787.055,,9575.832,,,,9806.191,,,,,,,,,,,,,,,,,,,,,,,
    Commerzbank AG,,,17529.0,,20486.0,,19276.0,,26320.0,,34846.0,,29126.0,,37504.0,,45524.0,44689.0,47594.0,50212.0,39328.0,48297.0,41007.0,39830.0,38067.0,39790.0,42937.0,41879.0,44833.0,49594.0,53827.0,57230.0,62205.0,71857.0,83288.0,80562.0,76721.0,80237.0,77313.0,105156.0,89315.0,82327.0,68924.0,66038.0,65818.0,72682.0,80042.0,97333.0,106400.0,118133.0,117079.0,117332.0,,144949.0,99795.0,,,211601.0,218251.0,183046.0
