Description,2024 Q4,2024 Q3,2024 Q2,2024 Q1,2023 Q4,2023 Q3,2023 Q2,2023 Q1,2022 Q4,2022 Q3,2022 Q2,2022 Q1,2021 Q4,2021 Q3,2021 Q2,2021 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1,2019 Q4,2019 Q3,2019 Q2,2019 Q1,2018 Q4,2018 Q3,2018 Q2,2018 Q1,2017 Q4,2017 Q3,2017 Q2,2017 Q1,2016 Q4,2016 Q3,2016 Q2,2016 Q1,2015 Q4,2015 Q3,2015 Q2,2015 Q1,2014 Q4,2014 Q3,2014 Q2,2014 Q1,2013 Q4,2013 Q3,2013 Q2,2013 Q1,2012 Q4,2012 Q3,2012 Q2,2012 Q1,2011 Q4,2011 Q3,2011 Q2,2011 Q1,2010 Q4,2010 Q3,2010 Q2,2010 Q1
    Lloyds Banking Group PLC,33317.06426,19135.23807,,,32817.65971,17705.50804,,,34849.3784,,,,37706.85052,,,,37454.5474,,,,38249.97702,,,,39943.10583,,40200.06269,,74738.60522,,74088.49838,,78329.35859,,81229.20509,,90619.65949,,102954.8305,,96136.05769,,106731.9705,,110179.6983,,115922.0915,,127828.983,,144807.174,,151533.4608,,149274.7211,,164439.2078,,179873.4007,
    Nordea Bank Abp,122441.0,122714.0,123126.0,123818.0,123401.0,124235.0,122180.0,121559.0,124258.0,126480.0,124194.0,,118512.0,114060.0,136000.0,113992.0,136528.0,107548.0,134000.0,131000.0,132625.0,131000.0,132000.0,133000.0,130717.0,127000.0,131000.0,129000.0,130716.0,132000.0,130000.0,135000.0,133788.0,136000.0,143000.0,144000.0,145268.0,146000.0,147000.0,150000.0,,,,,,,,,,,,,,,,,,,,
    Raiffeisen Bank International AG,103835.0,58787.0,60484.0,60587.0,59368.0,61725.0,60957.0,64080.0,61976.0,66499.0,65707.0,63388.0,62805.0,61448.0,57698.0,56807.0,55575.771,57707.0,59706.0,58313.0,46470.17,58230.0,46466.0,45305.0,43321.931,49560.0,40981.0,43690.0,42274.727,49571.0,49668.0,50523.0,46462.074,46308.0,47758.0,48045.0,47228.535,50166.0,52118.0,55894.0,54157.303,57334.0,55484.0,54714.0,55231.292,56599.0,56477.0,57936.0,58467.236,58590.0,60161.0,60830.0,61187.766,60907.0,58582.0,56804.0,55471.255,32520.0,32790.0,
    Skandinaviska Enskilda Banken AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Svenska Handelsbanken AB,95085.1866,96499.74874,96406.7095,94825.46625,99260.55233,94954.46286,95392.42567,97709.89877,98410.19238,95451.69075,95015.66406,95424.63029,93280.01833,106118.2042,105272.8356,104457.5849,103552.6941,100868.0164,101661.3891,99064.26322,101577.4752,100178.1935,99653.54689,99919.78864,97873.38899,96970.01973,96975.35847,95543.20808,95638.23147,96014.04078,94415.09909,94776.19654,93249.67109,94459.50605,95673.13935,95405.8697,93715.82051,,,,91401.56813,,,,91963.09954,,,,96462.45871,,,,,,,,,,,
    Swedbank AB,,29094.11636,29242.41349,27971.35724,55042.74375,54884.36252,57907.09794,27984.33662,56091.22346,57961.58442,81744.80307,56237.01649,53363.27511,53413.23391,53219.12076,52686.15465,54067.71905,52543.21175,53884.71565,52661.70806,53238.96555,52850.14663,54136.54181,53811.31312,54386.47482,54092.29729,53060.26311,52140.96726,53299.84334,54494.41912,53805.01644,54470.67833,54733.1873,55251.77005,56074.29097,55049.21402,54865.13724,54346.00949,54903.13634,54451.554,52676.73236,52346.84051,50983.26236,49135.68986,49814.27196,49641.11581,49900.56958,51743.87504,50731.94912,52211.16874,50042.78155,58028.57546,49230.67125,,,,56413.68239,,,
    Standard Chartered PLC,136384.1917,,127728.6301,,124131.4172,,122695.5486,,137093.6421,,131955.5471,,128699.2798,,125105.0722,,113366.0532,,124295.117,,124314.7208,,123000.2641,,115827.803,,115326.7106,,130222.9246,,128360.6414,,133878.8281,,132424.8171,,,,,,,,,,,,,,,,,,,,,,,,,
    UBS Group AG,24985.98898,22116.97165,23584.35984,21128.92761,19013.91902,23266.21289,19726.14032,19344.00589,16409.29885,22992.84985,18400.2671,18734.8854,19180.57263,17929.30602,19419.36028,20596.59574,20170.96115,17855.31479,17653.65116,18520.64534,16036.15638,16190.95662,14891.27564,14504.0549,65165.90988,65971.2416,15770.31772,16427.35459,15568.95691,,270665.0311,,18423.04959,,,,19800.7129,,,,18599.40679,,,,18539.27641,,,,18575.84442,,,,17464.88774,,,,16312.42774,,,
    UniCredit SpA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-- Other Loans,1549250.0007471,972947.6479224999,1623944.6721661,822852.7056,1755472.548763,876503.9885824,1708445.6378374,688500.619731,1711885.804334,710530.845842,1546106.6671809,967276.021289,1243264.62718561,730652.0092236999,1558887.90552616,740702.4449773799,1187971.2528008,778913.196473261,1220109.59562182,631663.3841549701,1254673.253713618,828178.740273142,1309655.4855511,844920.482326466,1096908.0222921,681746.68114136,1333034.95433108,860410.4278218,949844.5438692002,530861.5122149399,881592.4523318999,310798.17174117,983566.9554678,516332.8606693901,823403.7277689,746257.2610886,1288403.5728465,514165.3251327801,652356.2366015998,490494.759226,815299.1713327202,516942.1094928,708722.0551646202,530342.3198882999,800687.47536309,573511.3471495,615392.4113507,550205.3690372,756217.1201768301,544214.3588084,530718.2151228001,590428.8328321,748248.7243363999,593030.310387,659316.485177,637133.5136069999,667680.490551597,583757.0991,619411.740184,436350.957
    Banco de Sabadell SA,55378.385,12682.0,13246.0,13184.0,54033.926,13543.0,57122.037,11305.0,58139.505,11182.0,59574.144,11194.0,57429.576,11122.0,57520.842,11540.0,55169.928,12033.0,56523.55,11713.0,49879.256,11959.0,50586.83,11724.0,48787.081,12105.0,48255.614,12321.0,47374.619,12794.0,45977.827,13646.0,47070.207,14387.0,47731.45,49612.0,47813.364,50312.0,51158.857,48779.097,56872.398,47828.0,54960.099,55175.344,56883.413,53544.941,50121.328,51237.762,54412.425,55085.376,54877.201,33144.196,34954.622,30956.63,29898.002,30566.821,33194.777,27355.513,29946.882,
    Banco Santander SA,44487.0,44522.0,11783.0,14121.0,20849.0,18355.0,20674.0,18368.0,19916.0,16650.0,15598.0,12802.0,16631.0,5733.0,8308.0,3791.0,4482.0,29596.0,41659.0,1157.0,40257.0,40634.0,41734.0,42333.0,43012.0,43499.0,45086.0,44133.0,61865.0,110511.0,118322.0,39159.0,43483.0,287604.0,300967.0,282066.0,256623.0,,,,65327.0,,,,59239.0,,,,65298.0,,,,55557.0,,,,53208.969,,,
    Barclays PLC,42267.50208,77731.11912,84729.4776,67163.57216,45212.67372,14100.71091,82732.03371,0.0,57235.93054,6591.597549,6386.449108,,56587.61681,7224.337568,7590.058233,,54399.65374,9575.860263,9866.425242,,48690.05691,,0.0,,33704.77803,,0.0,,24840.8724,,84448.85236,,29696.12165,,107532.7485,,32905.39094,,124222.2832,,32462.56281,,111588.9885,,37716.51345,,40232.95233,,44061.51716,,44110.66082,,47881.64414,,53833.8621,,20403.84348,,11997.74529,
    BAWAG Group AG,,,2107.0,,1494.0,,1527.0,,1574.0,,1601.0,,1636.0,,,,1741.0,,,,,,,,,,,,,,,,,,22535.0,23419.0,,,,,,,,,,,,,,,,,,,,,,,,
    BNP Paribas SA,14366.0,,19899.0,,12174.0,,14316.0,,15675.0,,20943.0,,10550.0,,19508.0,,9921.0,,16641.0,,12609.0,,15112.0,,11494.0,,11772.0,,11488.0,,36810.0,,,,31596.0,,31780.0,,,,33010.0,,41340.0,,,,,,,,,,,,,,,,,
    Banco BPM SpA,,,19092.124,,16300.951,,15220.128,,18846.762,,14107.249,,20115.412,,18460.831,,23790.03,,24135.085,,32009.825,,25419.403,,27419.676,,34840.568,,36459.199,,43839.904,,,,31036.119,,28844.682,29799.355,29965.152,30630.348,30251.94,32548.994,29704.428,27519.759,29140.774,31035.276,30380.311,29617.489,29502.17,29517.2,29773.52,31970.042,31781.929,32568.824,33026.325,33416.823,34400.307,35567.277,36203.887,36898.485
    Banco Bilbao Vizcaya Argentaria SA,39395.0,47682.0,50782.0,49675.0,35079.0,51472.0,51821.0,47654.0,33168.0,46648.0,48984.0,46416.0,30148.0,45514.0,47276.0,45110.0,29750.0,52911.0,56488.0,47354.0,35726.0,57293.0,57004.0,56068.0,55086.0,45746.0,65742.0,78904.0,53867.0,62795.0,68253.0,69033.0,181769.0,23588.0,24212.0,24826.0,188750.0,25747.0,25766.0,22787.0,70226.0,23983.0,24555.0,25033.0,62901.0,,21811.0,21448.0,67312.0,,,,68625.0,,,,62146.0,,,
    Bank of Ireland Group PLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Bankinter SA,15298.202,15356.777,15538.855,15746.549,28234.502,15139.251,15340.207,14710.794,26623.866,15254.674,14732.417,13973.739,25193.051,13327.748,13891.469,12920.614,25416.192,13214.198,13468.472,13837.761,21375.017,14048.551,14696.593,13923.561,11929.655,14329.361,14249.24,13410.459,11900.113,13361.205,13225.344,12798.333,11461.427,12604.56,12348.18,11143.929,17000.984,9790.871,11057.519,9065.187,16733.528,9220.013,11235.541,9575.066,14800.435,10256.58,12560.866,12169.17,12340.125,13534.875,13232.153,11783.695,11120.076,11093.961,10701.957,10130.167,9435.343,10117.337,10128.369,10285.472
    CaixaBank SA,35771.0,35367.0,41599.0,37474.0,15896.0,40656.0,46638.0,43788.0,19682.0,46844.0,22570.0,49300.0,20619.0,24772.0,24813.0,49820.0,15534.0,12158.0,11924.0,34160.0,11216.0,16125.0,39510.436,33709.0,10832.0,45940.0,37327.083,35277.0,11196.861,12514.0,12112.803,47824.0,45615.0,45793.0,49030.0,47538.0,47378.0,51094.0,53710.0,48713.0,48066.0,43772.0,46401.0,43652.0,49996.0,47304.0,49600.0,52938.0,48703.0,47504.0,41080.0,39334.0,38425.0,39190.0,38076.0,93157.0,38211.0,36323.0,36344.0,84220.0
    Commerzbank AG,,,,,32388.0,,,,30022.0,,,,29525.0,,32650.0,,32325.0,20109.0,33401.0,17336.0,30053.0,16694.0,28894.0,30301.0,24618.0,25553.0,26360.0,26419.0,29482.0,,,,53882.0,,,184107.0,79297.0,182819.0,186362.0,189899.0,84620.0,191604.0,189076.0,191771.0,91150.0,201179.0,195765.0,213093.0,100837.0,228000.0,239359.0,244694.0,8460.0,257571.0,258784.0,273077.0,,288455.0,298030.0,304947.0
    Credit Agricole SA,45243.0,,46721.0,,43603.0,,42293.0,,34838.0,,35288.0,,31083.0,,32149.0,,31227.0,,33178.0,,32458.0,,31473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Deutsche Bank AG,5483.0,,,,3375.0,,,,4475.0,,,,5034.0,,,,5771.0,,,,5426.0,,,,5074.0,,,,77000.0,,,,86825.0,,,,71620.0,,,,94728.0,,,,77697.0,,,,92333.0,,,,106826.0,,,,102259.0,,,
    DNB Bank ASA,6972.569895,-738.1363539,6728.989236,1119.947878,4611.640669,872.2034557,1444.4951,1378.288811,5758.448246,7500.466295,573.8327229,2411.095547,111.8957023,747.7485735,1198.314431,947.600715,1235.577173,2445.537302,2000.569351,1202.04741,8649.823234,8533.080619,2850.643687,2678.770847,8558.464697,15341.68531,8066.072546,11118.64737,4711.721289,,,,4392.619821,,,,3100.799059,,,,2661.30249,,,,,,,,,,,,,,,,,,,
    Erste Group Bank AG,,4138.0,4129.0,4126.0,4068.0,4104.0,8511.19,4010.0,3981.0,9314.608,8187.865,6726.0,3936.0,7653.267,7871.601,7424.246,4002.0,7677.178,11456.791,7268.347,7469.131,6945.327,7297.147,7163.626,7618.034,7387.522,7354.391,7198.381,7048.277,7347.456,7285.07,7390.954,7442.451,7481.677,7565.364,,7615.65,,,,,,,,,7052.24,7226.828,6896.0,7849.528,7804.0,7718.0,7934.0,8019.509,7710.0,7890.0,7869.0,7839.114,7505.0,7406.0,
    FinecoBank Banca Fineco SpA,,,757.889,,574.887,,317.307,,435.253,,475.16,,433.611,,432.427,,410.453,,333.143,,298.67,,397.978,,226.802,,227.711,,168.198267,,177.179941,,152.702,,161.324796,,140.804,,159.729674,,126.141232,113.546411,147.166729,162.187196,,,,,,,,,,,,,,,,
    HSBC Holdings PLC,79683.06117,,73953.90071,,67274.04194,,70151.12658,,62481.56101,,62904.70285,,57399.43791,56395.29859,58846.31614,54822.97872,52826.17587,59801.22846,61741.52806,0.0,62966.42622,67044.85004,61074.03821,58937.70609,53621.20154,55762.8724,51613.42811,48822.90906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1537.09918,1709.917355,1792.699343,1840.759679,1895.87569,1969.685982,2284.384007,2665.128797,2802.870739,2948.397363,3261.882572,3670.856059,3703.120312,4074.074074,3932.634397,3903.514817,4106.412967,4408.19991,,5035.489924,
    ING Groep NV,15190.0,,14975.0,,13885.0,,14878.0,,11371.0,,13295.0,,47543.0,,47746.0,,46079.0,,46322.0,,45785.0,,47076.0,,44632.0,,45368.0,,50139.0,,51231.0,,50858.0,,55310.0,,59048.0,57605.0,58232.0,58325.0,52043.0,51613.0,77232.0,74526.0,60055.0,75849.0,82702.0,85471.0,,85954.0,,107000.0,96069.0,101844.0,102449.0,85370.0,100641.0,85924.0,88757.0,
    Intesa Sanpaolo SpA,,170132.0,104068.0,171255.0,162547.0,174456.0,109042.0,174318.0,161623.0,189974.0,138729.0,187328.0,137101.0,182888.0,184678.0,185352.0,136187.0,207761.0,191789.0,197480.0,157504.0,185580.0,185126.0,183493.0,164421.0,188579.0,195462.0,203889.0,204811.0,199520.0,205227.0,,160402.0,,,,157822.0,,,,,,,,,,,,,,,,,,,,,,,
    Jyske Bank A/S,251.4250976,273.2802274,286.4321131,,,264.1489607,263.5099454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    KBC Group NV,101394.0,104324.0,102839.0,95404.0,95326.0,99012.0,98953.0,97146.0,96970.0,97644.0,91944.0,89184.0,86691.0,85368.0,84024.0,83040.0,82869.0,84251.0,85148.0,87062.0,83170.0,83609.0,83345.0,81775.0,80674.0,81169.0,80243.0,78527.0,77475.0,78374.0,78910.0,75696.0,74631.0,73509.0,73436.0,73366.0,72254.0,71817.0,70853.0,71470.0,69532.0,69295.0,66271.0,69845.0,69920.0,63779.0,68263.0,71461.0,73322.0,71155.0,71239.0,77926.0,81782.0,76171.0,74854.0,70240.0,73646.0,77435.0,73492.0,
    Komercni Banka AS,704.4177315,0.0,1248.325146,0.0,1348.033176,0.0,1442.897687,0.0,1275.408811,0.0,1169.038511,0.0,1157.732203,0.0,1031.606684,26.81891638,984.6550278,1.478356561,937.9475312,102.4076523,906.8725182,3.489509342,878.7675012,123.9291546,957.5912623,422.8150078,953.5346046,599.6205175,1235.201923,842.8394488,1138.411284,55.51293607,132.3635762,62.90966049,155.6899212,85.0319587,143.1500895,69.85526078,160.8581628,134.1929061,79.78053572,,33.92151022,153.9971494,20.55585689,,,,26.34847893,,,,,,,,,,,
    Lloyds Banking Group PLC,88898.32747,119841.3861,,,84659.84906,117586.3129,,,85796.29166,,,,27458.71816,,,,86368.11828,,,,95585.965,,,,5814.277331,,19234.5176,,1126.062552,,4309.405765,,6958.473974,,16360.63145,,16660.83729,,16011.21671,,13412.53686,,12352.41607,,11443.26275,,13202.36794,,14536.20232,,15791.08355,,16246.15617,,16127.90179,,18079.07444,,20826.36697,
    Mediobanca Banca di Credito Finanziario SpA,8509.2,7676.1,16115.766,8209.6,12334.373,8371.5,16450.739,8744.9,12567.028,8697.5,15836.215,8194.8,12461.335,7828.3,12812.529,7699.0,10903.373,7033.3,12000.752,7870.6,10205.055,6777.4,9513.263,19309.5,9503.845,6466.1,9383.17,17803.0,9187.038,5992.8,9242.188,16953.0,8819.807,4521.7,8183.318,19702.7,6149.936,19864.2,6475.532,,6095.878,,6761.198,,6892.972,,6553.147,,8064.687,,7766.784,,7802.529,,,,,,,
    NatWest Group PLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52855.25926,57166.13953,,,,,,29711.45072,29955.3463,30586.26099,27953.92247,27407.28964,11152.59247,13966.9721,,
    Nordea Bank Abp,59615.0,54923.0,57279.0,58405.0,59425.0,54074.0,57846.0,58659.0,60396.0,57407.0,60635.0,353854.0,67749.0,64467.0,6022.0,66006.0,7929.0,63041.0,6035.0,6370.0,6233.0,5766.0,4757.0,6632.0,5887.0,5603.0,8061.0,5206.0,6898.0,5079.0,7069.0,5497.0,6049.0,7102.0,6236.0,6374.0,7889.0,6941.0,8245.0,7474.0,,,,,,,,,,,,,,,,,,,,
    Raiffeisen Bank International AG,3807.0,3224.0,3283.0,2241.0,2151.0,2045.0,2078.0,2241.0,2150.0,2306.0,2161.0,1749.0,1398.0,2051.0,1803.0,1720.0,2118.65,1742.0,1623.0,1549.0,1196.07,1722.0,1586.0,1394.0,916.932,1270.0,1183.0,921.0,3954.286,817.0,758.0,757.0,659.231,669.0,656.0,790.0,814.425,858.0,1348.0,1454.0,1451.165,1511.0,1612.0,1632.0,1647.511,1760.0,1757.0,1447.0,1387.0,1732.0,1360.0,2586.0,1384.072,1406.0,1818.0,1793.0,1636.991,1108.0,1244.0,
    Svenska Handelsbanken AB,1727.956803,1973.550849,2273.041231,2113.833282,2036.839309,2560.25328,2825.374785,3144.46731,3763.917233,5312.564585,5635.872911,6002.713315,5920.128188,4719.194836,5023.570123,4559.267029,5077.847547,4948.952185,5953.726325,6383.893652,6405.709501,6430.184651,7905.376301,7481.034432,8925.153637,8842.924806,7831.185428,8337.236577,8464.931847,8933.980837,9156.572374,8871.408485,8813.042462,7835.547801,8691.565155,9319.727655,9795.445089,,,,7732.040687,,,,9161.944621,,,,9248.742749,,,,,,,,,,,
    Swedbank AB,,40776.24128,38530.84449,38314.45358,7328.065389,2853.470276,0.0,36188.93371,1243.523384,4139.062613,6739.801968,3025.170827,19.63139231,17.3492562,14.29643516,3611.047297,2498.809833,11.6262067,17.77260262,0.36554067,0.380980418,186.9147538,379.0929819,1.247702866,998.5133648,23.17541756,25.82813248,548.5471973,864.5136312,86.23092914,292.3447079,673.9633201,529.9658146,942.4662079,721.9541267,486.8724749,949.754479,193.043872,208.0888548,226.8351399,1754.291163,255.8567388,242.5366764,274.0908529,254.7210432,299.7866125,293.4822837,407.0772982,753.7868059,666.0252364,739.9566938,642.3288001,311.0415024,,,,0.111251597,,,
    Societe Generale SA,431245.0,,436512.0,,464624.0,,468305.0,,478182.0,,476548.0,,33908.0,,445421.0,,33524.0,,53675.0,,33698.0,,55320.0,,56267.0,,55416.0,,52303.0,,57889.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Standard Chartered PLC,23896.0286,,23998.69354,,24114.2444,,30183.18373,,22911.02605,,28299.15101,,22599.68382,,23931.97738,,22954.60123,,22673.66361,,18860.98495,,14098.95237,,17608.27803,,10940.31001,,16350.85676,,14348.5499,,11360.57647,,10257.38282,,,,,,,,,,,,,,,,,,,,,,,,,
    UBS Group AG,239772.9249,233063.3297,242495.3341,244299.7497,247316.5221,257039.1378,277969.4083,166844.2359,170924.2834,185065.3728,180356.7681,175115.5026,215549.798,208333.7654,204045.0671,199297.8723,189172.1881,186690.8377,185630.1699,187157.9619,172327.0104,294374.9427,284716.9645,284438.1071,118541.7394,120556.2252,273099.2549,257010.6271,130658.7922,,,,135116.9667,,,,137650.3509,,,,126144.6892,,,,104121.4274,,,,104517.1903,,,,98973.72515,,,,97018.168,,,
    UniCredit SpA,189894.0,,188973.0,,193208.0,,200101.0,,209860.0,,212832.0,,215324.0,,209015.0,,209466.0,,226584.0,,220370.0,,232376.0,,236594.0,,269083.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
